,Metro area,Population,city,state,latitude,longitude
350,"Grand Forks, ND-MN MSA",102414,Grand Forks,ND,47.90689557,-97.06249237
351,"Gettysburg, PA MSA",102336,Gettysburg,PA,39.82882937,-77.21809387
352,"Mankato-North Mankato, MN MSA",100939,Mankato,MN,44.17160458,-93.99112701
353,"Fairbanks, AK MSA",99703,Fairbanks,AK,64.84704377,-147.7661133
354,"Victoria, TX MSA",99646,Victoria,TX,28.82057364,-96.97975159
355,"Cumberland, MD-WV MSA",98837,Cumberland,MD,39.63261777,-78.78158569
356,"Hot Springs, AR MSA",98658,Hot Springs,AR,34.48444281,-93.06999207
357,"Cheyenne, WY MSA",98327,Cheyenne,WY,41.14087005,-104.7944641
358,"Manhattan, KS MSA",98080,Manhattan,KS,39.18542184,-96.58802032
359,"Rome, GA MSA",97613,Rome,GA,34.26511835,-85.17837524
360,"Ames, IA MSA",97502,Ames,IA,42.02403698,-93.62823486
361,"Dubuque, IA MSA",97041,Dubuque,IA,42.5014194,-90.69763184
362,"Cape Girardeau, MO-IL MSA",96782,Cape Girardeau,MO,37.30791062,-89.55162048
363,"Ocean City, NJ MSA",93553,Ocean City,NJ,39.27080012,-74.58292007
364,"Pine Bluff, AR MSA",90963,Pine Bluff,AR,34.21065573,-92.01702118
365,"Corvallis, OR MSA",90951,Corvallis,OR,44.57236018,-123.2679749
366,"Parkersburg-Vienna, WV MSA",90898,Parkersburg,WV,39.26653889,-81.53331757
367,"Grants Pass, OR MSA",86352,Grants Pass,OR,42.44042275,-123.326683
368,"Elmira, NY MSA",85557,Elmira,NY,42.10632765,-76.81297302
369,"Pocatello, ID MSA",85269,Pocatello,ID,42.88145282,-112.4471283
370,"Grand Island, NE MSA",85045,Grand Island,NE,40.91583612,-98.35956573
371,"Bloomsburg-Berwick, PA MSA",84204,Bloomsburg,PA,41.00576594,-76.43875122
372,"Midland, MI MSA",83411,Midland,MI,43.63357879,-84.2332077
373,"Kokomo, IN MSA",82363,Kokomo,IN,40.46675501,-86.12251282
374,"Columbus, IN MSA",82040,Columbus,IN,39.19695972,-85.89935303
375,"Great Falls, MT MSA",81654,Great Falls,MT,47.50184897,-111.2915039
376,"Hinesville, GA MSA",80400,Hinesville,GA,31.83118038,-81.59854889
377,"Casper, WY MSA",79547,Casper,WY,42.83047547,-106.3243103
378,"Danville, IL MSA",77909,Danville,IL,40.14711494,-87.62935638
379,"Walla Walla, WA MSA",64614,Walla Walla,WA,46.06011782,-118.3327103
380,"Lewiston, ID-WA MSA",62920,Lewiston,ID,46.39899481,-116.978302
381,"Enid, OK MSA",61581,Enid,OK,36.39861455,-97.89916992
382,"Carson City, NV MSA",54745,Carson City,NV,39.15331126,-119.8210144
